Age,Candidate,Criminal_Case,District,Education,Liabilities,Party,State,Total_Assets,Winner,Year
49,Ramprit,0,BANSGAON,10th Pass,"Rs 81,700",Bahujan Mukti Party,UTTAR PRADESH,"Rs 73,59,921",No,2014
59,Sadal Prasad,0,BANSGAON,Post Graduate,"Rs 43,71,964",BSP,UTTAR PRADESH,"Rs 1,46,38,542",No,2014
39,Sanjay Kumar,0,BANSGAON,Post Graduate,"Rs 40,89,839",INC,UTTAR PRADESH,"Rs 1,81,80,208",No,2014
63,Sheo Shankar,0,BANSGAON,Graduate Professional,Rs 0,IND,UTTAR PRADESH,"Rs 56,68,318",No,2014
62,Bharat Singh, 3 ,BALLIA,Graduate,"Rs 11,02,553",BJP,UTTAR PRADESH,"Rs 2,11,30,089",Yes,2014
60,Afzal Ansari, 3 ,BALLIA,Post Graduate,Rs 0,Qaumi Ekta Dal,UTTAR PRADESH,"Rs 6,90,36,111",No,2014
39,Awadhesh Verma,0,BALLIA,Post Graduate,Rs 0,Bahujan Mukti Party,UTTAR PRADESH,"Rs 2,85,000",No,2014
36,Bholanath,0,BALLIA,12th Pass,"Rs 1,51,457",IND,UTTAR PRADESH,"Rs 22,25,891",No,2014
71,Col(Retd) Bharat Singh Shaurya Chakra,0,BALLIA,Not Given,Rs 0,AAP,UTTAR PRADESH,"Rs 1,11,10,000",No,2014
33,Savitri Bai Foole, 8 ,BAHRAICH,Graduate,"Rs 5,38,145",BJP,UTTAR PRADESH,"Rs 11,21,491",Yes,2014
62,Comando Kamal Kishor, 1 ,BAHRAICH,Graduate,Rs 0,INC,UTTAR PRADESH,"Rs 1,08,62,277",No,2014
41,Dr.Vijay Kumar,0,BAHRAICH,Graduate Professional,"Rs 20,00,000",BSP,UTTAR PRADESH,"Rs 81,60,460",No,2014
38,Manish,0,BALLIA,Graduate,"Rs 2,85,134",IND,UTTAR PRADESH,"Rs 29,050",No,2014
42,Mannu,0,BALLIA,12th Pass,Rs 0,Naitik Party,UTTAR PRADESH,"Rs 95,000",No,2014
45,Manoj,0,BALLIA,Post Graduate,"Rs 2,47,000",IND,UTTAR PRADESH,"Rs 5,70,088",No,2014
45,Neeraj Shekhar,0,BALLIA,Graduate,"Rs 60,00,000",SP,UTTAR PRADESH,"Rs 6,97,40,119",No,2014
63,Hira Lal Rao,0,BAHRAICH,Graduate Professional,Rs 0,Ambedkar National Congress,UTTAR PRADESH,"Rs 12,79,200",No,2014
40,Jagat Ram, 1 ,BAHRAICH,10th Pass,Rs 0,AAP,UTTAR PRADESH,"Rs 5,02,257",No,2014
35,Madhav,0,BAHRAICH,5th Pass,Rs 0,Lok Dal,UTTAR PRADESH,"Rs 58,251",No,2014
30,Ram Naresh,0,BAHRAICH,8th Pass,Rs 0,IND,UTTAR PRADESH,"Rs 14,00,000",No,2014
47,Ram Roop,0,BALLIA,8th Pass,Rs 0,Jai Hind Samaj Party,UTTAR PRADESH,"Rs 27,76,000",No,2014
60,Ramji,0,BALLIA,Literate,Rs 0,Bharatiya Samaj Dal,UTTAR PRADESH,"Rs 70,500",No,2014
45,Sheshnath,0,BALLIA,10th Pass,Rs 0,IND,UTTAR PRADESH,"Rs 13,06,200",No,2014
67,Suchit Gond,0,BALLIA,12th Pass,Rs 0,GGP,UTTAR PRADESH,"Rs 8,04,800",No,2014
31,Ramashanker Gond,0,BAHRAICH,12th Pass,Rs 0,Jai Hind Samaj Party,UTTAR PRADESH,"Rs 19,45,000",No,2014
55,Shabbir Ahmad, 1 ,BAHRAICH,12th Pass,"Rs 2,07,782",SP,UTTAR PRADESH,"Rs 70,62,525",No,2014
31,Vinod Kumar,0,BAHRAICH,Post Graduate,Rs 0,Bahujan Mukti Party,UTTAR PRADESH,"Rs 98,000",No,2014
59,Sudha Rai,0,BALLIA,Doctorate,"Rs 3,67,000",INC,UTTAR PRADESH,"Rs 4,17,07,834",No,2014
58,Virendra Kumar Pathak,0,BALLIA,Graduate Professional,Rs 0,BSP,UTTAR PRADESH,"Rs 2,17,63,000",No,2014
58,Dr. Satyapal Singh,0,BAGHPAT,Doctorate,"Rs 3,52,000",BJP,UTTAR PRADESH,"Rs 6,74,02,076",Yes,2014
46,Ajaypal,0,BAGHPAT,8th Pass,Rs 0,IND,UTTAR PRADESH,"Rs 57,90,000",No,2014
74,Ajit Singh,0,BAGHPAT,Post Graduate,Rs 0,RLD,UTTAR PRADESH,"Rs 16,92,54,660",No,2014
48,Anil Kumar, 4 ,BAGHPAT,12th Pass,"Rs 75,22,794",Peace Party,UTTAR PRADESH,"Rs 5,54,27,000",No,2014
36,Arvind,0,BAGHPAT,12th Pass,Rs 100,IND,UTTAR PRADESH,"Rs 4,10,000",No,2014
