Age,Candidate,Criminal_Case,District,Education,Liabilities,Party,State,Total_Assets,Winner,Year
36,Sunil David Amravati,0,AMRAVATI,Graduate Professional,Rs 0,Bahujan Mukti Party,MAHARASHTRA,"Rs 21,139",No,2014
66,Vishwanath Gotuji Jamnekar,0,AMRAVATI,Graduate Professional,Rs 0,IND,MAHARASHTRA,"Rs 6,20,000",No,2014
68,Adv.Dadasaheb Alias Dhanu Bhikaji Walthare,0,BHANDARA-GONDIYA,Graduate Professional,Rs 0,IND,MAHARASHTRA,"Rs 53,95,083",No,2014
43,Arun Nagorao Gajbhiye,0,BHANDARA-GONDIYA,Graduate,"Rs 8,382",IND,MAHARASHTRA,"Rs 12,95,000",No,2014
29,Bante Jitendra Ramaji,0,BHANDARA-GONDIYA,12th Pass,Rs 0,IND,MAHARASHTRA,"Rs 5,10,000",No,2014
45,Chole Omprakash Bakaram,0,BHANDARA-GONDIYA,Graduate Professional,"Rs 8,00,000",IND,MAHARASHTRA,"Rs 10,07,000",No,2014
48,Daharwal Ganeshdeo Raghuji,0,BHANDARA-GONDIYA,5th Pass,Rs 0,GGP,MAHARASHTRA,"Rs 71,13,000",No,2014
86,Dhananjay Shamlalji Rajabhoj,0,BHANDARA-GONDIYA,Post Graduate,Rs 0,IND,MAHARASHTRA,"Rs 30,70,000",No,2014
43,Dr.Kohapare Harshawardhan Muneshwar,0,BHANDARA-GONDIYA,Graduate Professional,"Rs 14,000",Bahujan Mukti Party,MAHARASHTRA,"Rs 9,80,000",No,2014
47,Eng. Sanjay Raghunath Nasare,0,BHANDARA-GONDIYA,Graduate Professional,"Rs 5,11,145",BSP,MAHARASHTRA,"Rs 85,04,878",No,2014
46,Ishwar Lahanu Nandagawali,0,BHANDARA-GONDIYA,10th Pass,Rs 0,IND,MAHARASHTRA,"Rs 1,11,000",No,2014
36,Jitendra Aadkuji Raut, 1 ,BHANDARA-GONDIYA,Graduate,Rs 0,Akhil Bhartiya Manavata Paksha,MAHARASHTRA,"Rs 76,820",No,2014
54,Mate Manohar Alias Mama,0,BHANDARA-GONDIYA,8th Pass,Rs 0,IND,MAHARASHTRA,"Rs 1,91,077",No,2014
38,Mirza Vahed Beg Ahmadbeg,0,BHANDARA-GONDIYA,12th Pass,Rs 0,IND,MAHARASHTRA,"Rs 15,13,581",No,2014
51,Moreshwar Ramaji Meshram,0,BHANDARA-GONDIYA,Graduate,"Rs 6,95,510",IND,MAHARASHTRA,"Rs 1,58,58,255",No,2014
51,Nanabhau Falgunrao Patole, 5 ,BHANDARA-GONDIYA,Graduate,Rs 0,BJP,MAHARASHTRA,"Rs 1,27,38,190",No,2014
57,Patel Praful Manoharbhai,0,BHANDARA-GONDIYA,Graduate,"Rs 4,00,00,000",NCP,MAHARASHTRA,"Rs 1,95,96,85,779",No,2014
35,Patle Anjali Agastikumar,0,BHANDARA-GONDIYA,Post Graduate,"Rs 24,25,000",Bharipa Bahujan Mahasangha,MAHARASHTRA,"Rs 16,79,100",No,2014
39,Prashant Shyamsundar Mishra,0,BHANDARA-GONDIYA,Post Graduate,"Rs 5,59,171",AAP,MAHARASHTRA,"Rs 4,13,06,880",No,2014
43,Raman Motiram Bansod,0,BHANDARA-GONDIYA,Post Graduate,"Rs 50,000",Ambedkarite Party of India,MAHARASHTRA,"Rs 58,800",No,2014
32,Ranjeet Amardas Sukhdeve,0,BHANDARA-GONDIYA,12th Pass,"Rs 2,25,000",Ambedkar samaj Party,MAHARASHTRA,"Rs 18,54,500",No,2014
40,Sayyad Afjalali Alias Chhanubhai,0,BHANDARA-GONDIYA,5th Pass,Rs 0,Minorities democratic party,MAHARASHTRA,"Rs 10,93,000",No,2014
38,Sushma Vitthal Nagpure,0,BHANDARA-GONDIYA,12th Pass,Rs 0,IND,MAHARASHTRA,"Rs 10,60,000",No,2014
59,Thakare Rameshwar (Rameshwar) Sundarlal,0,BHANDARA-GONDIYA,10th Pass,"Rs 74,000",SP,MAHARASHTRA,"Rs 37,00,102",No,2014
32,Varsha Govind Tidke,0,BHANDARA-GONDIYA,10th Pass,Rs 0,IND,MAHARASHTRA,"Rs 2,94,378",No,2014
27,Vishal Arvind Bhoyar,0,BHANDARA-GONDIYA,Post Graduate,Rs 0,IND,MAHARASHTRA,"Rs 1,24,600",No,2014
70,Wadhave Damodhar Natthu,0,BHANDARA-GONDIYA,10th Pass,"Rs 40,000",IND,MAHARASHTRA,"Rs 57,90,000",No,2014
59,Zanzad Shalikram Shankarrao,0,BHANDARA-GONDIYA,8th Pass,Rs 0,IND,MAHARASHTRA,"Rs 11,40,019",No,2014
55,Dhotre Sanjay Shyamrao, 3 ,AKOLA,Graduate Professional,"Rs 69,28,458",BJP,MAHARASHTRA,"Rs 4,85,01,735",Yes,2014
44,Ajay Kumar Panjabrao Hingankar,0,AKOLA,Graduate,"Rs 7,00,000",AAP,MAHARASHTRA,"Rs 80,35,000",No,2014
59,Ambedkar Prakash Yashwant, 3 ,AKOLA,Graduate Professional,"Rs 14,00,000",Bharipa Bahujan Mahasangha,MAHARASHTRA,"Rs 3,57,16,840",No,2014
45,Kamble Bhanudas Chokoba,0,AKOLA,12th Pass,Rs 0,BSP,MAHARASHTRA,"Rs 46,07,000",No,2014
55,Patel Hidayat Ulla Barkat Ulla, 1 ,AKOLA,12th Pass,"Rs 2,02,500",INC,MAHARASHTRA,"Rs 1,24,76,287",No,2014
25,Sandip Kisanrao Wankhede,0,AKOLA,Graduate,Rs 0,IND,MAHARASHTRA,"Rs 50,000",No,2014
58,Shekh Hamid Imam,0,AKOLA,Graduate,"Rs 4,83,872",Bahujan Mukti Party,MAHARASHTRA,"Rs 37,36,459",No,2014
66,Munde Gopinathrao Pandurang, 3 ,BEED,Graduate Professional,"Rs 33,57,29,817",BJP,MAHARASHTRA,"Rs 38,00,72,890",Yes,2014
33,Aghav Jayprakash Sitaram, 3 ,BEED,10th Pass,Rs 0,IND,MAHARASHTRA,"Rs 1,51,000",No,2014
44,Arjun Hanmanta Nimbalkar,0,BEED,10th Pass,"Rs 19,000",IND,MAHARASHTRA,"Rs 2,25,000",No,2014
32,Ashok Bhagoji Thorat,0,BEED,Not Given,Rs 0,IND,MAHARASHTRA,"Rs 50,000",No,2014
53,Ashok Dhondiba Sonwane,0,BEED,8th Pass,Rs 0,IND,MAHARASHTRA,Nil,No,2014
40,Avinash Namdev Wankhede, 2 ,BEED,Graduate Professional,"Rs 3,09,000",IND,MAHARASHTRA,"Rs 7,45,000",No,2014
30,Bhagwat Harihar Taware,0,BEED,Graduate,Rs 0,IND,MAHARASHTRA,Nil,No,2014
44,Dhas Suresh Ramchandra, 2 ,BEED,Graduate,"Rs 1,04,90,592",NCP,MAHARASHTRA,"Rs 7,44,08,903",No,2014
53,Dongare Milind Kashinath, 1 ,BEED,Graduate Professional,"Rs 3,00,000",Prabuddha Republican Party,MAHARASHTRA,"Rs 3,03,93,000",No,2014
30,Dr. Owhal Jitendra Mahadev,0,BEED,Graduate Professional,"Rs 15,72,500",IND,MAHARASHTRA,"Rs 34,38,256",No,2014
34,Gangadhar Sitaram Kalkute,0,BEED,Graduate,Rs 0,IND,MAHARASHTRA,"Rs 4,25,000",No,2014
31,Hoke (Patil)Rajedra Achyutrao,0,BEED,12th Pass,"Rs 60,000",IND,MAHARASHTRA,"Rs 1,42,000",No,2014
46,Jethlia Santoshbapu Mitthulal,0,BEED,Post Graduate,Rs 0,IND,MAHARASHTRA,"Rs 9,70,125",No,2014
38,Kale Bajirao Shankar,0,BEED,10th Pass,Rs 0,IND,MAHARASHTRA,"Rs 7,55,000",No,2014
33,Kale Krishna Bhanudas,0,BEED,Graduate Professional,"Rs 52,000",Bharipa Bahujan Mahasangha,MAHARASHTRA,"Rs 9,36,000",No,2014
60,Manikrao Madhavrao Bavne,0,BEED,Post Graduate,"Rs 80,000",SP,MAHARASHTRA,"Rs 3,93,51,000",No,2014
56,Nadu Madhav,0,BEED,Graduate Professional,"Rs 8,75,946",AAP,MAHARASHTRA,"Rs 7,68,55,663",No,2014
28,Prashant Vishnu Sasane,0,BEED,Graduate,Rs 0,IND,MAHARASHTRA,Nil,No,2014
28,Rahul Prabhakar Kamble,0,BEED,Graduate Professional,Rs 0,Ambedkarite Party of India,MAHARASHTRA,"Rs 1,02,000",No,2014
58,Rothod Digambar Ramrao,0,BEED,Graduate,"Rs 10,60,000",BSP,MAHARASHTRA,"Rs 1,13,25,000",No,2014
38,Sadulla Asdulla Inamdar,0,BEED,10th Pass,Rs 0,IND,MAHARASHTRA,"Rs 2,00,000",No,2014
39,Saksamudre Bhagwan Kachruba,0,BEED,Others,"Rs 5,35,000",Bahujan Mukti Party,MAHARASHTRA,"Rs 24,07,094",No,2014
39,Sayyed Minhaj Ali Sayyad Wajed Ali (Pendkhajurwale),0,BEED,12th Pass,"Rs 2,35,000",IND,MAHARASHTRA,"Rs 11,25,000",No,2014
40,Sayyed Mubin Rahimtulla,0,BEED,10th Pass,"Rs 23,00,000",IND,MAHARASHTRA,"Rs 8,71,000",No,2014
43,Sayyed Navidujjamma, 1 ,BEED,Graduate,Rs 0,IND,MAHARASHTRA,"Rs 25,39,615",No,2014
51,Sayyed Salim Fattu, 1 ,BEED,Illiterate,"Rs 2,75,000",IND,MAHARASHTRA,"Rs 60,000",No,2014
46,Shaikh Chand Shiakh Miya,0,BEED,Literate,Rs 0,IND,MAHARASHTRA,"Rs 50,000",No,2014
44,Shaikh Iptekhar Zakeebaba,0,BEED,12th Pass,Rs 0,Welfare Party Of India,MAHARASHTRA,"Rs 35,000",No,2014
51,Shaikh Shafiq Shabbir, 1 ,BEED,10th Pass,Rs 0,IND,MAHARASHTRA,"Rs 1,09,000",No,2014
27,Shrikant Vishnu Gadale,0,BEED,10th Pass,Rs 0,IND,MAHARASHTRA,"Rs 45,071",No,2014
33,Solanke Parmeshwar Kalyanrao,0,BEED,Not Given,"Rs 70,000",IND,MAHARASHTRA,"Rs 16,83,000",No,2014
50,Solanke Prkash Bhagwanrao,0,BEED,5th Pass,Rs 0,IND,MAHARASHTRA,"Rs 15,93,500",No,2014
62,Chandrakant Bhaurao Khaire, 8 ,AURANGABAD,12th Pass,"Rs 2,03,07,244",SHS,MAHARASHTRA,"Rs 9,06,14,560",Yes,2014
53,Ahamad Aziz Ahamad Mateen,0,AURANGABAD,8th Pass,Rs 0,IND,MAHARASHTRA,"Rs 2,40,000",No,2014
39,Ankush Munjaji Tupsamundre,0,AURANGABAD,Literate,"Rs 1,942",IND,MAHARASHTRA,"Rs 51,10,000",No,2014
40,Sumitrabai Dashrath Pawar,0,BEED,Illiterate,Rs 0,IND,MAHARASHTRA,Nil,No,2014
55,Tate Ashok Santram,0,BEED,12th Pass,Rs 0,Ambedkarist Republican Party,MAHARASHTRA,"Rs 25,000",No,2014
45,Balasaheb Asaram Sarate,0,AURANGABAD,Post Graduate,"Rs 19,55,530",IND,MAHARASHTRA,"Rs 58,49,936",No,2014
49,Balasaheb Vitthal Aware,0,AURANGABAD,10th Pass,"Rs 16,000",IND,MAHARASHTRA,"Rs 18,31,343",No,2014
31,Bansode Udhav Govardhan,0,AURANGABAD,Graduate,"Rs 6,00,000",IND,MAHARASHTRA,"Rs 6,15,000",No,2014
47,Banswal Mannalal Premchand,0,AURANGABAD,Not Given,Rs 0,Prabuddha Republican Party,MAHARASHTRA,"Rs 65,000",No,2014
34,Tejas Ankush Ghumare, 1 ,BEED,Literate,Rs 0,IND,MAHARASHTRA,"Rs 20,000",No,2014
49,Thorat Dhanraj Vitthal,0,BEED,10th Pass,Rs 0,Maharashtra Parivartan Sena (T),MAHARASHTRA,"Rs 7,00,000",No,2014
48,Veer Shesherao Chokhoba,0,BEED,Graduate,Rs 0,IND,MAHARASHTRA,Nil,No,2014
39,Bhanudas Ramdas Sarode,0,AURANGABAD,Not Given,Rs 0,IND,MAHARASHTRA,Nil,No,2014
44,Dandge Nanasaheb Damodhar,0,AURANGABAD,Graduate,Rs 0,IND,MAHARASHTRA,"Rs 13,35,000",No,2014
44,Dr. Feroz Khan Murtuza Khan,0,AURANGABAD,Doctorate,Rs 0,IND,MAHARASHTRA,"Rs 2,13,75,000",No,2014
64,Gayake Sadashiv Ambadas, 4 ,AURANGABAD,Graduate Professional,"Rs 2,27,000",SP,MAHARASHTRA,"Rs 1,20,25,302",No,2014
40,Jadhav Pushpa Shantilal,0,AURANGABAD,Illiterate,Rs 0,Ambedkar National Congress,MAHARASHTRA,"Rs 2,94,744",No,2014
31,Jagdip Vishwanath Shinde,0,AURANGABAD,Graduate Professional,Rs 0,IND,MAHARASHTRA,"Rs 21,000",No,2014
30,Jawaharlal Laxman Bhagure,0,AURANGABAD,10th Pass,Rs 0,IND,MAHARASHTRA,"Rs 4,48,217",No,2014
40,Jevrikar Indrakumar Dnyanoba,0,AURANGABAD,Graduate,"Rs 22,00,000",BSP,MAHARASHTRA,"Rs 1,30,71,000",No,2014
36,Kailas Chandrabhan Dhengde,0,AURANGABAD,10th Pass,Rs 0,IND,MAHARASHTRA,"Rs 17,200",No,2014
32,Khudus Samad,0,AURANGABAD,10th Pass,Rs 0,Bahujan Mukti Party,MAHARASHTRA,"Rs 41,890",No,2014
37,Mohmmad Kismatwala Kasim Kismatwala,0,AURANGABAD,8th Pass,Rs 0,Gareeb Aadmi Party,MAHARASHTRA,"Rs 6,35,000",No,2014
40,Nadeem Rana,0,AURANGABAD,12th Pass,Rs 0,IND,MAHARASHTRA,"Rs 32,50,000",No,2014
29,Nandarkar Vishal Uddhav,0,AURANGABAD,10th Pass,"Rs 60,000",IND,MAHARASHTRA,"Rs 10,88,000",No,2014
44,Patil Nitin Suresh, 7 ,AURANGABAD,Graduate,"Rs 1,31,63,583",INC,MAHARASHTRA,"Rs 15,06,99,930",No,2014
33,Phulare Suresh Asaram,0,AURANGABAD,12th Pass,Rs 0,IND,MAHARASHTRA,"Rs 4,97,750",No,2014
44,Raju Baburao Dole,0,AURANGABAD,Graduate,"Rs 34,35,981",IND,MAHARASHTRA,"Rs 1,61,49,796",No,2014
46,Sayyad Shafiyoddin Vahiyoddin,0,AURANGABAD,10th Pass,Rs 0,Welfare Party Of India,MAHARASHTRA,"Rs 75,000",No,2014
33,Shaik Sayyad Shaik Mahmood,0,AURANGABAD,5th Pass,Rs 0,IND,MAHARASHTRA,"Rs 4,51,000",No,2014
62,Subhash Kalyanrao Lomte,0,AURANGABAD,Post Graduate,"Rs 2,58,000",AAP,MAHARASHTRA,"Rs 1,16,81,447",No,2014
45,Tribhuvan Madhukar Padmakar,0,AURANGABAD,12th Pass,Rs 0,IND,MAHARASHTRA,"Rs 21,93,000",No,2014
64,Gandhi Dilipkumar Mansukhlal, 16 ,AHMEDNAGAR,10th Pass,"Rs 3,41,76,876",BJP,MAHARASHTRA,"Rs 6,53,16,725",Yes,2014
55,Anil Jaysing Ghanvat, 6 ,AHMEDNAGAR,Graduate,"Rs 1,63,597",IND,MAHARASHTRA,"Rs 3,33,40,000",No,2014
59,Damale Shivajirao Waman,0,AHMEDNAGAR,Graduate Professional,"Rs 9,05,302",Bhartiya Navjawan Sena (Paksha),MAHARASHTRA,"Rs 17,21,000",No,2014
37,Deepali Sayyad, 1 ,AHMEDNAGAR,Graduate,"Rs 37,67,489",AAP,MAHARASHTRA,"Rs 3,00,52,370",No,2014
38,Deshmukh Vikas Nanasaheb,0,AHMEDNAGAR,12th Pass,"Rs 5,10,000",IND,MAHARASHTRA,"Rs 37,96,964",No,2014
35,H.B.P. Ajay Sahebrao Baraskar Maharaj, 2 ,AHMEDNAGAR,12th Pass,"Rs 4,42,109",Bahujan Mukti Party,MAHARASHTRA,"Rs 1,11,85,018",No,2014
40,Kakade Kisan Yashwant,0,AHMEDNAGAR,10th Pass,Rs 0,BSP,MAHARASHTRA,"Rs 4,03,500",No,2014
73,Kolsepatil Baban Gangadhar, 3 ,AHMEDNAGAR,Graduate Professional,"Rs 23,79,701",IND,MAHARASHTRA,"Rs 33,71,59,952",No,2014
46,Laxman Bhanudas Sonale,0,AHMEDNAGAR,Graduate,Rs 0,IND,MAHARASHTRA,"Rs 33,09,077",No,2014
62,Petras Kisan Gaware, 2 ,AHMEDNAGAR,Illiterate,"Rs 20,000",IND,MAHARASHTRA,"Rs 3,66,073",No,2014
34,Popat Manik Fule,0,AHMEDNAGAR,5th Pass,Rs 0,Maharashtra Parivartan Sena (T),MAHARASHTRA,Rs 500,No,2014
44,Rajeev Appasaheb Rajale, 3 ,AHMEDNAGAR,Graduate Professional,"Rs 1,71,01,039",NCP,MAHARASHTRA,"Rs 6,30,94,594",No,2014
58,Shridhar Jakhuji Darekar,0,AHMEDNAGAR,Graduate Professional,"Rs 8,64,552",IND,MAHARASHTRA,"Rs 1,52,69,913",No,2014
62,Sushma Swaraj,0,VIDISHA,Graduate Professional,"Rs 65,00,000",BJP,MADHYA PRADESH,"Rs 17,55,16,422",Yes,2014
46,Amar Singh Patel,0,VIDISHA,12th Pass,"Rs 27,310",BSP,MADHYA PRADESH,"Rs 3,11,829",No,2014
38,Babu Lal,0,VIDISHA,8th Pass,Rs 0,Samata Samadhan Party,MADHYA PRADESH,"Rs 2,60,700",No,2014
39,Chandresh Singh,0,VIDISHA,10th Pass,Rs 0,IND,MADHYA PRADESH,"Rs 42,613",No,2014
57,Engineear Bhagwat Singh Rajput,0,VIDISHA,Others,Rs 0,AAP,MADHYA PRADESH,"Rs 25,13,476",No,2014
33,Ganesh Rajak,0,VIDISHA,12th Pass,Rs 0,Samata Party,MADHYA PRADESH,"Rs 5,60,000",No,2014
42,Kamlesh Sallam,0,VIDISHA,5th Pass,Rs 0,GGP,MADHYA PRADESH,"Rs 6,20,000",No,2014
59,Lakshman Singh,0,VIDISHA,Graduate,"Rs 1,70,68,702",INC,MADHYA PRADESH,"Rs 8,37,83,624",No,2014
33,Manoj Kumar Yadav,0,VIDISHA,Post Graduate,"Rs 7,40,000",SP,MADHYA PRADESH,"Rs 35,45,837",No,2014
60,Narmada Prashad Ahirwar,0,VIDISHA,5th Pass,Rs 0,Bahujan Mukti Party,MADHYA PRADESH,"Rs 38,62,000",No,2014
46,Ramdayal Kori,0,VIDISHA,10th Pass,Rs 0,IND,MADHYA PRADESH,"Rs 11,17,500",No,2014
29,Shoiab Khan,0,VIDISHA,12th Pass,Rs 0,Prajatantrik Samadhan Party,MADHYA PRADESH,"Rs 50,000",No,2014
44,Chintamani Malviya,0,UJJAIN,Doctorate,"Rs 54,83,153",BJP,MADHYA PRADESH,"Rs 1,88,88,754",Yes,2014
39,Aneeta Hindoliya,0,UJJAIN,Post Graduate,"Rs 15,64,210",AAP,MADHYA PRADESH,"Rs 57,60,417",No,2014
28,Anil Pale,0,UJJAIN,Graduate Professional,"Rs 2,50,000",Bahujan Sangharshh Dal,MADHYA PRADESH,"Rs 5,07,000",No,2014
55,Ashok,0,UJJAIN,12th Pass,Rs 0,IND,MADHYA PRADESH,"Rs 70,000",No,2014
62,Bhanwarlal,0,UJJAIN,10th Pass,Rs 0,Jai Maha Bharath Party,MADHYA PRADESH,"Rs 32,904",No,2014
26,Brajmohan Malviya,0,UJJAIN,Graduate Professional,"Rs 1,20,000",Prajatantrik Samadhan Party,MADHYA PRADESH,"Rs 8,82,436",No,2014
59,Lalchand,0,UJJAIN,12th Pass,Rs 0,IND,MADHYA PRADESH,"Rs 59,15,000",No,2014
68,Nandlal Chauhan,0,UJJAIN,12th Pass,Rs 0,Bahujan Mukti Party,MADHYA PRADESH,"Rs 88,29,056",No,2014
46,Premchand Guddu, 3 ,UJJAIN,10th Pass,"Rs 22,21,000",INC,MADHYA PRADESH,"Rs 53,52,13,275",No,2014
52,Radheshayam Panavar,0,UJJAIN,10th Pass,Rs 0,AIFB,MADHYA PRADESH,"Rs 50,65,700",No,2014
33,Ramprasad Jatwa,0,UJJAIN,Graduate,Rs 0,BSP,MADHYA PRADESH,"Rs 2,00,900",No,2014
31,Surendra Mehar, 2 ,UJJAIN,10th Pass,Rs 0,IND,MADHYA PRADESH,"Rs 2,82,100",No,2014
60,Dr. Virendra Kumar,0,TIKAMGARH,Doctorate,Rs 0,BJP,MADHYA PRADESH,"Rs 87,64,635",Yes,2014
38,Ambesh Kumari, 1 ,TIKAMGARH,Doctorate,"Rs 32,55,734",SP,MADHYA PRADESH,"Rs 1,57,10,045",No,2014
35,Bhagwan Das,0,TIKAMGARH,10th Pass,Rs 0,IND,MADHYA PRADESH,"Rs 6,56,000",No,2014
53,Chaturbhuj Snehi,0,TIKAMGARH,12th Pass,Rs 0,IND,MADHYA PRADESH,Nil,No,2014
43,Ganesh,0,TIKAMGARH,5th Pass,Rs 0,IND,MADHYA PRADESH,"Rs 20,000",No,2014
38,Girdhari,0,TIKAMGARH,12th Pass,Rs 0,IND,MADHYA PRADESH,"Rs 14,03,342",No,2014
36,Kamlesh Kumar,0,TIKAMGARH,Doctorate,"Rs 8,45,98,565",INC,MADHYA PRADESH,"Rs 32,99,92,919",No,2014
43,Lakhan Lal,0,TIKAMGARH,12th Pass,"Rs 70,000",IND,MADHYA PRADESH,"Rs 4,82,600",No,2014
26,Neeraj,0,TIKAMGARH,8th Pass,Rs 0,CPI,MADHYA PRADESH,"Rs 4,61,000",No,2014
52,Ram Charan Ahirwar,0,TIKAMGARH,12th Pass,Rs 0,Poorvanchal Rashtriya Congress,MADHYA PRADESH,"Rs 46,50,000",No,2014
62,Ramesh Chand Verma,0,TIKAMGARH,Graduate Professional,"Rs 3,25,000",AAP,MADHYA PRADESH,"Rs 16,98,238",No,2014
44,Sewak Ram Ahirwar, 1 ,TIKAMGARH,12th Pass,"Rs 29,199",BSP,MADHYA PRADESH,"Rs 19,82,450",No,2014
38,Sheel Chandra Ahirwar,0,TIKAMGARH,10th Pass,"Rs 34,000",IND,MADHYA PRADESH,"Rs 3,73,600",No,2014
36,Riti Pathak,0,SIDHI,Post Graduate,Rs 0,BJP,MADHYA PRADESH,"Rs 3,34,16,561",Yes,2014
36,Asha Singh,0,SIDHI,10th Pass,Rs 0,Rashtriya Apna Dal,MADHYA PRADESH,"Rs 67,500",No,2014
36,Bhagawati Charan Pandey(Neelu),0,SIDHI,Graduate,"Rs 1,00,000",IND,MADHYA PRADESH,"Rs 34,25,500",No,2014
25,Brahmanand Pratap Singh,0,SIDHI,Graduate,Rs 0,IND,MADHYA PRADESH,Nil,No,2014
68,Indrajeet Kumar,0,SIDHI,Graduate,"Rs 24,94,561",INC,MADHYA PRADESH,"Rs 6,26,90,091",No,2014
63,Lal Bahadur Singh,0,SIDHI,10th Pass,Rs 0,Samata Samadhan Party,MADHYA PRADESH,"Rs 3,12,000",No,2014
43,Mohd. Jahangeer Ansari,0,SIDHI,Not Given,Rs 0,IND,MADHYA PRADESH,"Rs 56,300",No,2014
28,Pankaj Singh Patel,0,SIDHI,Post Graduate,Rs 0,AAP,MADHYA PRADESH,"Rs 1,44,766",No,2014
45,Puspendra Singh, 1 ,SIDHI,Graduate Professional,"Rs 20,20,000",GGP,MADHYA PRADESH,"Rs 1,04,53,934",No,2014
68,Ramakant Pandey Malaihna,0,SIDHI,Post Graduate,Rs 0,IND,MADHYA PRADESH,"Rs 5,15,000",No,2014
36,Ramashankar Shahwal,0,SIDHI,Post Graduate,"Rs 10,92,000",BSP,MADHYA PRADESH,"Rs 97,43,656",No,2014
48,Sanat Kumar Tripathi, 1 ,SIDHI,12th Pass,Rs 0,Bhartiya Shakti Chetna Party,MADHYA PRADESH,"Rs 16,15,000",No,2014
37,Sunil Soni,0,SIDHI,12th Pass,Rs 0,Bahujan Sangharshh Dal,MADHYA PRADESH,"Rs 2,81,653",No,2014
36,Urmila,0,SIDHI,Graduate,Rs 0,CPI(ML) Red star,MADHYA PRADESH,"Rs 1,00,000",No,2014
61,Dalpat Singh Paraste,0,SHAHDOL,Graduate Professional,Rs 0,BJP,MADHYA PRADESH,"Rs 55,24,870",Yes,2014
26,Er. Vijay Kumar Kol,0,SHAHDOL,Post Graduate,Rs 0,AAP,MADHYA PRADESH,"Rs 1,80,118",No,2014
44,Jogendra Singh,0,SHAHDOL,8th Pass,Rs 0,Bahujan Mukti Party,MADHYA PRADESH,"Rs 1,80,411",No,2014
47,Lala Kol,0,SHAHDOL,8th Pass,"Rs 2,000",IND,MADHYA PRADESH,"Rs 1,30,100",No,2014
72,Mahaveer Parshad Manjhi,0,SHAHDOL,8th Pass,Rs 0,IND,MADHYA PRADESH,"Rs 45,68,000",No,2014
33,Parmeshwar Singh,0,SHAHDOL,5th Pass,"Rs 2,00,000",CPI,MADHYA PRADESH,"Rs 5,15,000",No,2014
48,Phool Singh Paraste, 2 ,SHAHDOL,Post Graduate,"Rs 1,20,000",BSP,MADHYA PRADESH,"Rs 56,94,356",No,2014
57,Rajes Nandini Singh - Dalvir,0,SHAHDOL,Graduate,"Rs 6,45,000",INC,MADHYA PRADESH,"Rs 4,13,89,440",No,2014
43,Raju Baiga, 1 ,SHAHDOL,10th Pass,"Rs 1,20,000",IND,MADHYA PRADESH,"Rs 51,77,500",No,2014
51,Ram Gopal Singh,0,SHAHDOL,8th Pass,Rs 0,Bhartiya Shakti Chetna Party,MADHYA PRADESH,"Rs 14,75,529",No,2014
39,Ram Singh,0,SHAHDOL,8th Pass,Rs 0,Chhattisgarh Swabhiman Manch,MADHYA PRADESH,"Rs 1,86,000",No,2014
33,Ramratan Singh Pawley,0,SHAHDOL,Post Graduate,Rs 0,GGP,MADHYA PRADESH,"Rs 2,27,724",No,2014
44,Sahdev Singh Paraste,0,SHAHDOL,Post Graduate,"Rs 1,50,000",NPP,MADHYA PRADESH,"Rs 15,86,000",No,2014
44,Yogesh Kumar Singh Ad.,0,SHAHDOL,Graduate Professional,"Rs 1,820",SP,MADHYA PRADESH,"Rs 12,51,141",No,2014
73,Laxmi Narayan Yadav, 1 ,SAGAR,Graduate Professional,"Rs 9,56,348",BJP,MADHYA PRADESH,"Rs 2,39,62,099",Yes,2014
44,Atul Mishra, 1 ,SAGAR,Graduate Professional,"Rs 1,73,000",AAP,MADHYA PRADESH,"Rs 48,23,372",No,2014
40,Bharat Sen Advocate,0,SAGAR,Graduate Professional,Rs 0,IND,MADHYA PRADESH,"Rs 2,05,966",No,2014
48,Govind Singh Rajput, 1 ,SAGAR,Post Graduate,"Rs 24,58,028",INC,MADHYA PRADESH,"Rs 3,07,58,478",No,2014
51,Ganesh Singh, 2 ,SATNA,Post Graduate,Rs 0,BJP,MADHYA PRADESH,"Rs 3,78,00,000",Yes,2014
58,Ajay Arjun Singh, 2 ,SATNA,Post Graduate,"Rs 1,38,45,072",INC,MADHYA PRADESH,"Rs 25,48,76,883",No,2014
45,Kashiram Patel,0,SAGAR,Graduate,Rs 0,GGP,MADHYA PRADESH,"Rs 1,00,500",No,2014
31,Mahendra Kumar Choudhary,0,SAGAR,Post Graduate,Rs 0,IND,MADHYA PRADESH,"Rs 1,46,079",No,2014
43,Mohammad Hanif Qurashi, 1 ,SAGAR,Literate,Rs 0,IND,MADHYA PRADESH,"Rs 28,50,500",No,2014
37,Saroj Katiyar Kurmi,0,SAGAR,Post Graduate,"Rs 15,90,878",BSP,MADHYA PRADESH,"Rs 2,44,15,594",No,2014
29,Ajay Pratap Singh,0,SATNA,12th Pass,Rs 0,IND,MADHYA PRADESH,"Rs 9,00,000",No,2014
27,Ashok Kumar,0,SATNA,Graduate,Rs 0,IND,MADHYA PRADESH,"Rs 2,89,957",No,2014
42,Birendra Singh,0,SATNA,12th Pass,"Rs 1,00,000",IND,MADHYA PRADESH,"Rs 24,51,500",No,2014
52,Dadhibal,0,SATNA,Post Graduate,Rs 0,Apna Dal,MADHYA PRADESH,"Rs 29,33,600",No,2014
